,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,2/15/2015,JTMMF,,,,,,,Ref: 2,,,,
Abashidze,George,2/14/2015,U16MF,,,Ref: 2  ,Ref: 2,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Abashidze,George,2/16/2015,U16MS,,,,,,,,,,,
Abashidze,George,2/15/2015,U16WF,,,Ref: 1,Ref: 1,Ref: 2,Ref: 1,Video: 1,,,,
Abashidze,George,2/16/2015,U19MF,,,Ref: 1,Ref: 1,Ref: 1,,Video: 1,,,,
Abashidze,George,2/13/2015,U19WF,,,Ref: 1,Ref: 5,Ref: 1,,,,,,
Abashidze,George,11/7/2014,U17MF,,,Ref: 2,Ref: 4,Ref: 1,Ref: 1,,,,,
Abashidze,George,11/7/2014,U20WF,,,,,Ref: 1,,,,,,
Abashidze,George,11/8/2014,U17MS,,,,,,,,,,,
Abashidze,George,11/8/2014,Y14MF,,,,Ref: 3,Ref: 1,,,,,,
Abashidze,George,11/8/2014,Y14WS,,,,,Ref: 3,Ref: 1,,,,,
Abashidze,George,11/9/2014,U17WF,,,,Ref: 3,Ref: 1,Ref: 1,Video: 1,,,,
Abashidze,George,11/9/2014,U20MF,,,,,,,Video: 2,Video: 1,,,
Abashidze,George,11/9/2014,Y14MS,,,,,,,,,,,
Abashidze,George,11/10/2014,U20MS,,,Ref: 2,Ref: 4,Ref: 2,,,Video: 1,,,
Abashidze,George,1/9/2015,DV1MF,,,,,,Ref: 1,Video: 1,,Video: 1,,
Abashidze,George,1/10/2015,DV1ME,,,Ref: 2,Ref: 3,,,,,,,
Abashidze,George,1/10/2015,U20WF,,,,Ref: 2,Ref: 1,,,,,,
Abashidze,George,1/11/2015,U20MF,,,,Ref: 4,Ref: 1,,Video: 1,,,,
Abashidze,George,1/12/2015,DV1WF,,,,,Ref: 2,Ref: 1,Video: 1,,,,
Abashidze,George,1/12/2015,STMMF,,,,,,,Ref: 1,Ref: 1,,,
Abashidze,George,6/27/2015,D1AWF,,,,,Ref: 1,,Ref: 1,,,,
Abashidze,George,6/27/2015,DV1MF,,,,,Ref: 1,,Video: 1,,,,
Abashidze,George,6/28/2015,DV1WF,,,,,Ref: 1,,,,,,
Abashidze,George,6/29/2015,U16MF,,,,Ref: 2,Ref: 3,,Video: 1,,,,
Abashidze,George,6/30/2015,D1AMF,,,,,Ref: 1,Ref: 2,Ref: 2,Ref: 1,,,
Abashidze,George,7/1/2015,U19MF,,,Ref: 1,Ref: 1,Ref: 1,,Video: 1,Video: 1,,,
Abashidze,George,7/1/2015,V60MF,,,,,,Ref: 1,Ref: 2,Ref: 1,,,
Abashidze,George,10/11/2014,DV1MF,,,Ref: 1,Ref: 2,Ref: 1,,Ref: 1,,,,
Abashidze,George,10/12/2014,DV1WF,,,,Ref: 1,Ref: 1,,Ref: 1,,,,
Abashidze,George,10/12/2014,DV2MF,,,,,,,,,,,
Abashidze,George,10/11/2014,DV2WF,,,,,Ref: 1,,,,,,
Abashidze,George,10/10/2014,STMMF,,,,,,,,Ref: 1,,,
Abashidze,George,10/13/2014,U17MF,,,,Ref: 3,Ref: 2,Ref: 2,Video: 1,,,,
Abashidze,George,10/10/2014,U17WF,,,,,Ref: 1,,Video: 1,,,,
Abdelaziz,Abdel,2/15/2015,JTMMF,,,,,,,,Ref: 1,Ref: 1,Ref: 1,
Abdelaziz,Abdel,2/14/2015,U16MF,,,Ref: 2,Ref: 1,Ref: 2,,Video: 1,Video: 1,,,
Abdelaziz,Abdel,2/16/2015,U16MS,,,Ref: 1,Ref: 5,Ref: 4,Ref: 1,Video: 2,,,,
Abdelaziz,Abdel,2/15/2015,U16WF,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Video: 1,,,,
Abdelaziz,Abdel,2/16/2015,U19MF,,,Ref: 1,Ref: 3,Ref: 1,,,Video: 1,,,
Abdelaziz,Abdel,2/13/2015,U19WF,,,,Ref: 2,Ref: 1,Ref: 1,,Video: 1,,,
Abdelaziz,Abdel,1/9/2015,DV1MF,,,,Ref: 3,Ref: 2,Ref: 1,,Ref: 1,,,
Abdelaziz,Abdel,1/10/2015,DV1ME,,,Ref: 2,Ref: 1,Ref: 2,,,,,,
Abdelaziz,Abdel,1/11/2015,U20MF,,,,Ref: 4,Ref: 1,Ref: 2,,,Video: 1,,
Abdelaziz,Abdel,1/12/2015,STMMF,,,,,,,,,,,Ref: 1
Abdelaziz,Abdel,6/27/2015,DV1MF,,,,,Ref: 1,,,Ref: 1,,,Video: 1
Abdelaziz,Abdel,6/28/2015,DV1WF,,,,,,,Assist: 1,Ref: 1,Video: 1,,
Abdelaziz,Abdel,6/28/2015,U19WE,,,,Ref: 1,,,,,,,
Abdelaziz,Abdel,6/29/2015,U16MF,,,,Ref: 2,Ref: 1,Ref: 1,Video: 1,Assist: 1,,,
Abdelaziz,Abdel,10/12/2014,DV1ME,,,,,,,,,,,
Abdelaziz,Abdel,10/11/2014,DV1MF,,,Ref: 1,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,,,
Abdelaziz,Abdel,10/10/2014,DV1MS,,,,Ref: 2,,Ref: 1,,,,,
Abdelaziz,Abdel,10/12/2014,DV1WF,,,,Ref: 1,Ref: 3,Ref: 2,,Video: 1,Video: 1,,
Abdelaziz,Abdel,10/11/2014,DV2ME,,,Ref: 1,Ref: 2,Ref: 1,,,,,,
Abdelaziz,Abdel,10/12/2014,DV2MF,,,,Ref: 4,Ref: 2,Ref: 1,,,,,
Abdelaziz,Abdel,10/10/2014,U17WF,,,,Ref: 2,Ref: 1,Ref: 1,Video: 1,,,,
Abdelaziz,Abdel,11/7/2014,U20WF,,,,Ref: 4,Ref: 3,,Video: 1,,,,Video: 1
Abdelaziz,Abdel,11/8/2014,U20ME,,,Ref: 2,Ref: 1,Ref: 1,,,,,,
Abdelaziz,Abdel,11/8/2014,Y14MF,,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,11/9/2014,U17WF,,,,Ref: 2,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,11/9/2014,U20MF,,,Ref: 3,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,11/10/2014,U17ME,,,,,,,,,,,
Abdelaziz,Abdel,11/10/2014,Y14WF,,,,Ref: 3,Ref: 1,Ref: 1,,Video: 1,,,
Abdelaziz,Abdel,12/5/2014,DV1WF,,,,,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,12/5/2014,V40MF,,,,,,,Ref: 1,,,,
Abdelaziz,Abdel,12/5/2014,V60MF,,,,,,,,Video: 1,Ref: 1,,
Abdelaziz,Abdel,12/5/2014,V70MF,,,,,,,Ref: 2,Ref: 1,Video: 1,,
Abdelaziz,Abdel,12/7/2014,V50ME,,,,,Ref: 2,Ref: 1,,Ref: 1,Video: 1,,
Abdelaziz,Abdel,12/7/2014,VETMF,,,,,Ref: 1,Ref: 2,,,,,
Abdelaziz,Abdel,12/8/2014,DV1MF,,,,,,Ref: 1,Video: 1,,,,
Abdelaziz,Abdel,3/1/2015,DV1MF,,,,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,,
Abdelaziz,Abdel,2/27/2015,V60WF,,,,,,,Ref: 2,Ref: 1,,,
Abdelaziz,Abdel,2/28/2015,V70MF,,,,,,,Ref: 2,Ref: 1  Video: 1,Ref: 1  Video: 1,,Ref: 1
Abdelaziz,Abdel,2/27/2015,VETMF,,,,,Ref: 1,Ref: 1,,Ref: 1,,,
Abdelaziz,Abdel,2/28/2015,VTMME,,,,,,,,Ref: 1,,,
Abdelaziz,Abdel,4/17/2015,Y14MF,,,,Ref: 3,Ref: 1,,,,,,
Abdelaziz,Abdel,4/17/2015,Y14WF,,,,,,,,Video: 1,,,
Abdelaziz,Abdel,4/19/2015,Y12MF,,,,Ref: 4,Ref: 2,Ref: 1,,Video: 1,Video: 1,,
Abdelaziz,Abdel,4/19/2015,Y12WF,,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,4/20/2015,14TMMF,,,,,,,,Ref: 1,Ref: 1,,
Abdelaziz,Abdel,4/20/2015,Y10MF,,,,,Ref: 3,Ref: 1,Ref: 1,,Video: 1,,
Abdelaziz,Hisham,11/10/2014,U20MS,,,,,,,,,,,
Abdelaziz,Hisham,12/5/2014,DV1WF,,,,,Ref: 1,Ref: 1,,,,,
Abdelaziz,Hisham,12/5/2014,V50MF,,,,,,Ref: 2,Ref: 1,Ref: 1,,,
Abdelaziz,Hisham,12/6/2014,DV1ME,,,,Ref: 2,,,,,,,
Abdelaziz,Hisham,12/6/2014,V50WE,,,,,,Ref: 2,Ref: 1,Ref: 1,,,
Abdelaziz,Hisham,12/7/2014,DV2WF,,,,,Ref: 2,Ref: 1,Ref: 1,,Ref: 1,,
Abdelaziz,Hisham,12/8/2014,DV1MF,,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,,,
Abdelaziz,Hisham,12/8/2014,V50WF,,,,,,,,Video: 1,,,
Abdelaziz,Hisham,1/9/2015,DV1MF,,,,Ref: 2,Ref: 2,Ref: 1,,,,,
Abdelaziz,Hisham,1/10/2015,DV1ME,,,Ref: 1,Ref: 1,,,,,,,
Abdelaziz,Hisham,1/10/2015,U20WF,,,,Ref: 1,Ref: 1,,,,,,
Abdelaziz,Hisham,1/11/2015,DV1WE,,,,Ref: 1,Ref: 1,,,,,,
Abdelaziz,Hisham,1/12/2015,DV1WF,,,,,Ref: 2,,,,,,
Abdelaziz,Hisham,1/12/2015,STMMF,,,,,,,Ref: 1,Ref: 1,Video: 1,,
Abdelaziz,Hisham,6/27/2015,D1AWF,,,,,,Ref: 1,,,,,
Abdelaziz,Hisham,6/27/2015,DV1MF,,,,Ref: 1,,Ref: 1,,,,,
