Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,11/13/2016,U17MF,Ref: 2,,,Ref: 5,Ref: 3,,,Ref: 1,,,,,
Abashidze,George,11/11/2016,U20MF,Ref: 2,,,Ref: 4,Ref: 4,,Ref: 3,Ref: 1,Video: 1,,,,
Abashidze,George,11/14/2016,U20WF,Ref: 1,,,,Ref: 2,,,Ref: 1,Ref: 1  Assist: 1,Ref: 1,,,
Abashidze,George,11/12/2016,Y14MF,Ref: 5,,,Ref: 4,Ref: 4,,Ref: 2,Ref: 1,Ref: 1,,,,
Abashidze,George,11/13/2016,Y14WF,,,,,Ref: 2,,Ref: 1,,,,,,
Abashidze,George,12/11/2016,DV1MF,Ref: 2,,,,Ref: 4,,Ref: 2,Ref: 1  Video: 1,Video: 1,,,,
Abashidze,George,12/10/2016,DV1WF,Ref: 1,,,,Ref: 1,,Ref: 1  Video: 2  Assist: 1,Video: 2,Video: 1,,,,
Abashidze,George,2/17/2017,U16WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Abashidze,George,2/17/2017,U16WS,Ref: 1,,,,Ref: 4,,Ref: 2,,,,,,
Abashidze,George,2/18/2017,JTMWF,,,,,,,,,Ref: 1,,,,
Abashidze,George,2/18/2017,U19MF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 2,Assist: 1,,,,
Abashidze,George,2/19/2017,JTMMF,,,,,,,,,Ref: 1,,,,
Abashidze,George,2/19/2017,U19WF,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Abashidze,George,2/20/2017,U16MF,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 1,,Video: 1,Video: 1,,,
Abashidze,George,7/1/2017,D1AMF,,,,,Ref: 2,,Ref: 1,Ref: 1,,Video: 1,,,
Abashidze,George,7/1/2017,U19WF,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,Video: 1,,Video: 1,,
Abashidze,George,7/2/2017,D1AWF,Ref: 1,,,,,,,,,,,,
