Last Name,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,6/28/2018,DV1WF,,,,Ref: 1,Ref: 1,Ref: 2,,,,,
Abashidze,George,7/3/2018,U16MF,Ref: 1,,Ref: 2,,Ref: 4,,,,,,
Abashidze,George,7/3/2018,DV2WF,Ref: 2,,,Ref: 4,Ref: 2,,,,,,
Abashidze,George,6/29/2018,U19MF,Ref: 1,,Ref: 3,Ref: 2,,,Ref: 1,,,,
Abashidze,George,6/30/2018,U19WF,Ref: 1,,Ref: 2,Ref: 3,Ref: 1,Ref: 1,Video: 1,,,,
Abashidze,George,7/1/2018,U16WE,Ref: 1,,,,,,,,,,
Abashidze,George,7/1/2018,DV1MF,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Video: 1,,,,
Abashidze,George,7/2/2018,U16WF,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,Ref: 1  Assist: 1,Assist: 1,,,
Abashidze,George,7/2/2018,V70WF,Ref: 1,,,,,,,Ref: 1  Video: 1,Video: 1,,Video: 1
Abashidze,George,7/4/2018,VTMMF,,,,,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1
Abashidze,George,7/5/2018,Y14MF,Ref: 2,Ref: 2,Ref: 4,Ref: 2,Ref: 2,,Ref: 1,Video: 1,,,
Abdalgwad,Omar,11/10/2017,U20ME,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,,,
Abdalgwad,Omar,11/10/2017,Y14MF,Ref: 1,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abdalgwad,Omar,11/11/2017,U17MF,Ref: 1,,Ref: 3,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdalgwad,Omar,11/11/2017,U20WF,Ref: 1,,Ref: 1,Ref: 2,,,,,,,
Abdalgwad,Omar,11/12/2017,U17WF,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,7/3/2018,DV2ME,Ref: 2,,Ref: 2,Ref: 4,Ref: 3,Ref: 1,,,,,
Abdallah,Ahmed,7/3/2018,Y14WE,Ref: 1,,Ref: 2,Ref: 2  Video: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Abdallah,Ahmed,7/6/2018,Y12ME,Ref: 1,,Ref: 2,Ref: 3,Ref: 1,,,,,,
Abdallah,Ahmed,6/29/2018,D1AWE,Ref: 1,,,,,,,,,,
Abdallah,Ahmed,6/29/2018,STMME,,,,,,,,,,,
Abdallah,Ahmed,6/30/2018,U19ME,Ref: 2,,Ref: 1,Ref: 3,,,Ref: 1,,,,
Abdallah,Ahmed,6/30/2018,V40WE,,,,,,,,Video: 1,,,
Abdallah,Ahmed,6/30/2018,V50WE,,,,,,,,Assist: 1,,,
Abdallah,Ahmed,7/1/2018,VTMWE,,,,,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,
Abdallah,Ahmed,7/2/2018,U16ME,,,Ref: 1,Ref: 2,Ref: 1,,,,,,
Abdallah,Ahmed,7/2/2018,V40ME,,,,,,,,Assist: 1,,,
Abdallah,Ahmed,7/2/2018,V50ME,,,,,Ref: 2,,,,Video: 1,,
Abdallah,Ahmed,7/2/2018,V70ME,Ref: 1,,,,,Ref: 2,Ref: 1,Ref: 1,Video: 1,,
Abdallah,Ahmed,7/4/2018,DV3WE,Ref: 2,,,Ref: 3,Ref: 1,Ref: 1,,Ref: 1,,,
Abdallah,Ahmed,7/4/2018,Y14ME,Ref: 1,,Ref: 2,Ref: 3,Ref: 1,Ref: 1,,,,,
Abdallah,Ahmed,7/5/2018,DV3ME,Ref: 1,,,Ref: 3,Ref: 1,Ref: 1,,,,,
Abdallah,Ahmed,7/5/2018,DV3WF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,
Abdallah,Ahmed,7/7/2018,Y10WE,Ref: 1,,,,Ref: 1,Ref: 1,,Video: 1,Ref: 1,,
Abdelaziz,Abdel,6/28/2018,DV1WF,Ref: 1,,,,,Ref: 1,Video: 1,,,,
Abdelaziz,Abdel,7/6/2018,DV3MF,Ref: 2,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,,Assist: 1,,Video: 1
Abdelaziz,Nadine,6/28/2018,DV1ME,,,,,Ref: 1,,,,,,
Abdelaziz,Nadine,6/28/2018,U19WE,Ref: 1,,Ref: 2,Ref: 1,Ref: 2,,Video: 1,Ref: 1,,,Ref: 1
Abdelaziz,Nadine,7/3/2018,U16MF,Ref: 1,,Ref: 2,Ref: 2,,,,,,,
Abdelaziz,Nadine,7/3/2018,DV2WF,Ref: 2,,,Ref: 4,Ref: 2,Ref: 1,Ref: 1,,,,
Abdelaziz,Abdel,10/16/2017,DV1MF,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,10/13/2017,DV1WF,Ref: 1,,Ref: 2,,Ref: 3,,Ref: 1,Assist: 1,,,
Abdelaziz,Abdel,10/15/2017,DV2MF,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,10/15/2017,U16WF,Ref: 1,,Ref: 1,Ref: 3,Ref: 1,,Video: 1,,,,
Abdelaziz,Abdel,11/10/2017,Y14MF,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,,,,,,
Abdelaziz,Abdel,11/11/2017,U20WF,Ref: 1,,,,,,Video: 1,,,,
Abdelaziz,Abdel,11/12/2017,U17WF,Ref: 1,,,,,,,,,,
Abdelaziz,Abdel,12/8/2017,V40MF,Ref: 1,,,,,,,Video: 1,,,
Abdelaziz,Abdel,12/8/2017,V60WF,Ref: 1,,,,,Ref: 1,Ref: 1,,,,
Abdelaziz,Abdel,12/9/2017,DV1WF,Ref: 1,,,,,,,Ref: 1,,,
Abdelaziz,Abdel,12/9/2017,VETMF,,,,,Ref: 2,,,,,,
Abdelaziz,Abdel,12/10/2017,DV2MF,Ref: 1,,,,,,,,,,
Abdelaziz,Abdel,12/10/2017,DV2WF,Ref: 1,,,,Ref: 1,,,,,,
Abdelaziz,Abdel,1/7/2018,DV1MF,Ref: 1,,Ref: 2,Ref: 2,,,,,,,
Abdelaziz,Abdel,1/5/2018,DV1WF,Ref: 1,,,Ref: 2,Ref: 1,,,,,,
Abdelaziz,Abdel,1/7/2018,STMWF,,,,,,,,Ref: 1,,Ref: 1,
