Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abdallah,Ahmed,12/15/2018,DV1WF,Ref: 1,,,,Ref: 1,,Ref: 1,,Assist: 2,,,,
Abdallah,Ahmed,12/15/2018,V40MF,Ref: 1,,,,,,,,Ref: 1,Ref: 2,Video: 1,,
Abdallah,Ahmed,2/15/2019,U20ME,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,Assist: 1,,,,
Abdallah,Ahmed,2/16/2019,U20WE,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 1,,Assist: 1,Assist: 1,,,
Abdallah,Ahmed,2/17/2019,U17ME,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abdallah,Ahmed,2/17/2019,U20WF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Abdallah,Ahmed,2/18/2019,U17WE,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,Ref: 1,,Assist: 1,,,
Abdallah,Ahmed,3/1/2019,Y14WF,,,,,Ref: 2,,Ref: 1,,,,,,
Abdallah,Ahmed,3/2/2019,Y12MF,Ref: 1,,,Ref: 3,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,3/2/2019,Y14ME,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,,,,,
Abdallah,Ahmed,3/3/2019,Y14MF,Ref: 1,,,Ref: 4,Ref: 1,,Ref: 2,,,,,,
Abdallah,Ahmed,3/3/2019,Y14WE,Ref: 2,,,Ref: 2,Ref: 4,,,Ref: 1,,,,,
Abdallah,Ahmed,3/4/2019,DV3WE,Ref: 1,,,,,,Ref: 2,Ref: 1,,,,,
Abdallah,Ahmed,3/4/2019,Y12WF,Ref: 1,,,,Ref: 2,,Ref: 2,,Ref: 1,,,,
Abdallah,Ahmed,4/12/2019,DV2ME,Ref: 1,,,,,,Ref: 3,Ref: 2,Ref: 1,,Ref: 1,,Assist: 1
