Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128 ,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,2/15/2020,U20MF,Ref: 1,,,,Ref: 1,,,,,,,,
Abashidze,George,2/16/2020,U17WF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Abdallah,Ahmed,10/18/2019,DV1ME,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Abdallah,Ahmed,10/18/2019,U17WF,,,,,,,,,Assist: 1,Ref: 1,Assist: 1,,
Abdallah,Ahmed,10/19/2019,DV1MF,Ref: 1,,,,Ref: 2,,,,,,,,
Abdallah,Ahmed,10/19/2019,DV2WF,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,,,,,
Abdallah,Ahmed,10/20/2019,DV1WF,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,Assist: 1,,,,
Abdallah,Ahmed,10/20/2019,DV2MF,Ref: 1,,,,,,,,,,,,
Abdallah,Ahmed,10/21/2019,DV2WE,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,,,,,
Abdelaziz,Abdel,10/18/2019,U17WF,Ref: 1,,,,Ref: 2,,Ref: 1,,Video: 1,,,,
Abdelaziz,Abdel,10/19/2019,DV1MF,Ref: 1,,,,,,,,Video: 1,,,,
Abdelaziz,Abdel,10/20/2019,DV1WF,Ref: 1,,,,,,,,Video: 1,,,,
Abdelaziz,Abdel,10/20/2019,DV2MF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdel,11/8/2019,U17MF,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,,,,,,
Abdelaziz,Abdel,11/8/2019,U20WE,Ref: 1,,,,Ref: 2,,,,Video: 1,,,,
Abdelaziz,Abdel,11/9/2019,U20MF,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,,Video: 1,,,,
Abdelaziz,Abdel,11/11/2019,U17WF,Ref: 1,,,,,,,,Video: 1,,,,
Abdelaziz,Abdel,1/3/2020,DV1WF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdel,1/3/2020,STMMF,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,
Abdelaziz,Abdel,1/4/2020,DV1MF,Ref: 2,,,,,,Ref: 2,Ref: 1,,,,,
Abdelaziz,Abdel,1/5/2020,U20MF,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Abdelaziz,Abdel,2/14/2020,U20WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Assist: 1,,,,
Abdelaziz,Abdel,2/15/2020,JTMWF,,,,,,,,,Ref: 2,Ref: 1,Ref: 1,,Ref: 1
Abdelaziz,Abdel,2/15/2020,U20MF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdel,2/16/2020,U17WF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Hisham,10/18/2019,U17WF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Video: 1,,,,
Abdelaziz,Hisham,10/19/2019,DV1MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Abdelaziz,Hisham,10/20/2019,DV1WF,Ref: 1,,,Ref: 1,Ref: 2,,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,
Abdelaziz,Hisham,10/20/2019,DV2MF,,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Abdelaziz,Hisham,10/21/2019,U17MF,Ref: 1,,,,Ref: 1,,,Ref: 1,,,Video: 1,,
Abdelaziz,Hisham,1/3/2020,DV1WF,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,Video: 1,Ref: 1,,,Ref: 1
Abdelaziz,Hisham,1/4/2020,DV1MF,Ref: 1,,,Ref: 5,Ref: 1,,Ref: 1,,Ref: 1  Video: 1,Assist: 1,,,
Abdelaziz,Hisham,1/5/2020,U20MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,Video: 1,Ref: 1,,,
Abdelaziz,Hisham,1/6/2020,U20WF,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,Video: 1,,,,Ref: 1
Acosta Pereira,Vilmarie,10/18/2019,DV1MS,Ref: 2,,,,,,,,,,,,
Acosta Pereira,Vilmarie,10/18/2019,DV2WS,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Acosta Pereira,Vilmarie,10/19/2019,U17ME,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Acosta Pereira,Vilmarie,10/19/2019,U17WS,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Video: 1,,,,
Acosta Pereira,Vilmarie,10/20/2019,U17MS,Ref: 2,,,Ref: 2,Ref: 1,,Ref: 2,Ref: 1,,,,,
Acosta Pereira,Vilmarie,10/21/2019,DV1WS,Ref: 1,,,,,,,,,,,,
Acosta Pereira,Vilmarie,10/21/2019,DV2MS,Ref: 2,,,,Ref: 3,,Ref: 2,Ref: 1,Ref: 1,,,,
