,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,7/3/2021,DV1WF,Ref: 1,,,Ref: 3,Ref: 1,,Video: 1,,,,
Abashidze,George,7/3/2021,U17MF,Ref: 1,,Ref: 2,,,,,,,,
Abashidze,George,7/4/2021,DV1MF,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,,,,,
Abashidze,George,7/4/2021,U17WF,Ref: 1,,,,,,,,,,
Abashidze,George,7/5/2021,STMMF,,,,,,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,
Abashidze,George,7/6/2021,U20MF,Ref: 1,,Ref: 3,Ref: 2,Ref: 1,Ref: 1,,,,,
Abashidze,George,7/7/2021,V50WF,Ref: 1,,,,,,,Ref: 1  Video: 1,,,
Abashidze,George,7/8/2021,Y14WF,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Abdallah,Ahmed,5/6/2021,Y14WE,Ref: 1,,,,Ref: 2,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,5/7/2021,DV1ME,,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,5/7/2021,U17WE,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Video: 1 Assist: 1,Ref: 1,,,
Abdallah,Ahmed,5/8/2021,DV1WE,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,5/8/2021,U17ME,,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdallah,Ahmed,5/9/2021,U20ME,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Video: 1 Assist: 1,Ref: 1,Video: 1,,Assist: 1
Abdallah,Ahmed,5/9/2021,U20WE,,,,,Ref: 2,,,,,,
Abdallah,Ahmed,7/4/2021,DV1MF,Ref: 1,,,Ref: 2,Ref: 2,,,,,,
Abdallah,Ahmed,7/4/2021,U17WF,Ref: 1,,,,,,,,,,
Abdallah,Ahmed,7/5/2021,U20WE,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdallah,Ahmed,7/6/2021,U20ME,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,Ref: 1  Assist: 1,Ref: 1,Assist: 1,,
Abdallah,Ahmed,7/8/2021,VTMWE,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Abdallah,Ahmed,7/8/2021,Y14WE,Ref: 1,,,Ref: 2,Ref: 1,,,,,,
Abdallah,Ahmed,7/9/2021,Y12ME,Ref: 1,,,,Ref: 2,,Ref: 1,,,,
Abdelaziz,Abdel,4/16/2021,Y14ME,Ref: 1,,,Ref: 2,Ref: 1,,,,,,
Abdelaziz,Abdel,4/16/2021,Y14WE,Ref: 1,,,,Ref: 2,,,,,,
Abdelaziz,Abdel,4/17/2021,DV1ME,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Video: 1,Video: 1,Ref: 1,,
Abdelaziz,Abdel,4/18/2021,DV1WE,Ref: 1,,,,Ref: 1,,Video: 1,,,,
Abdelaziz,Abdel,4/18/2021,Y12ME,Ref: 1,,,,,,,,,,
Abdelaziz,Abdel,5/9/2021,U20MF,,,,,,,,Assist: 1,,,
Abdelaziz,Abdel,7/4/2021,U17WF,Ref: 1,,,,,,,,,,
Abdelaziz,Abdel,7/6/2021,U20MF,Ref: 1,,,,,,,,,,
Abdelaziz,Abdel,8/27/2021,V50MF,Ref: 1,,,,,Ref: 1,Ref: 3,Ref: 1  Video: 1,Assist: 1,,
Abdelaziz,Abdel,8/27/2021,V60MF,,,,,,,,Video: 1,Assist: 1,,
Abdelaziz,Abdel,8/27/2021,V70MF,Ref: 1,,,,,,,Video: 1  Assist: 1,Ref: 1,,Assist: 1
Abdelaziz,Abdel,8/27/2021,V70WF,,,,,,,,,Video: 1  Assist: 1,,Ref: 1
Abdelaziz,Abdel,8/28/2021,VETMF,Ref: 1,,,,,,,Video: 1,Video: 1,,
Abdelaziz,Abdel,8/28/2021,VETWF,Ref: 1,,,,,,,Video: 1  Assist: 1,Ref: 1,,Assist: 1
Abdelaziz,Hisham,4/16/2021,Y14MF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,,Video: 1,,,
Abdelaziz,Hisham,4/16/2021,Y14WF,Ref: 1,,,,Ref: 2,,,,,,
Abdelaziz,Hisham,4/17/2021,DV1MF,Ref: 1,,,Ref: 1,,Ref: 1,Assist: 1,Ref: 1  Assist: 1,Assist: 1,,
Abdelaziz,Hisham,4/17/2021,Y12WF,,,,,Ref: 1,,,Video: 1,Video: 1,,
Abdelaziz,Hisham,4/18/2021,DV1WF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1  Video: 1,,,,
Abdelaziz,Hisham,5/6/2021,Y14MF,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,Video: 1,Assist: 1,,Video: 1
Abdelaziz,Hisham,5/6/2021,Y14WF,,,,,Ref: 1,Ref: 1,,Assist: 1,Ref: 1,,
Abdelaziz,Hisham,5/7/2021,DV1MF,Ref: 2,,,Ref: 2,Ref: 3,Ref: 1,Video: 2,Assist: 1,Ref: 1,,Assist: 1
Abdelaziz,Hisham,5/8/2021,DV1WF,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Video: 1,Ref: 1 Assist: 1,Video: 1,,Ref: 1
Abdelaziz,Hisham,5/9/2021,U20MF,Ref: 1,,,,,,Ref: 1 Video: 1,Ref: 1,Video: 1,,Assist: 1
Abdelaziz,Hisham,5/9/2021,U20WF,,,,,,,Assist: 1,Assist: 1,Video: 1,,
