,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,7/7/2022,D1AMF,Ref: 1,,, ,Ref: 2,,Ref: 1, , , , , , 
Abashidze,George,7/7/2022,DV3WF,Ref: 1,,, ,Ref: 2,,Ref: 2,Ref: 1, , , , , 
Abashidze,George,7/8/2022,DV3MF,Ref: 1,,,Ref: 1,Ref: 1,, , , , , , , 
Abashidze,George,7/9/2022,Y14MF,Ref: 1,,,Ref: 2,Ref: 1,, ,Ref: 1,Ref: 1, , , , 
Abashidze,George,7/10/2022,DV2MF,Ref: 1,,,Ref: 2,Ref: 1,, ,Ref: 1, , , , , 
Abashidze,George,7/10/2022,Y12WF,Ref: 1,,, ,Ref: 1,,Ref: 2,Ref: 1,Ref: 1, , , , 
Abashidze,George,7/11/2022,Y12MF,Ref: 1,,,Ref: 1,Ref: 1,, ,Ref: 1,Ref: 1, , , , 
Abbas,Nagwa,7/2/2022,D1AWE,Ref: 1,,, , ,,Ref: 2, ,Ref: 1, , , , 
Abbas,Nagwa,7/3/2022,STMME, ,,, , ,,Ref: 1,Ref: 1,Ref: 1, , , , 
Abbas,Nagwa,7/3/2022,U19WE, ,,, ,Ref: 1,, ,Ref: 1,Ref: 1, , , , 
Abbas,Nagwa,7/4/2022,U19ME,Ref: 1,,,Ref: 2,Ref: 1,, , , , , , , 
Abbas,Nagwa,7/5/2022,D1AME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1, ,Ref: 1, , , 
Abbas,Nagwa,7/5/2022,U16WE,Ref: 1,,, ,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , , 
Abbas,Nagwa,7/6/2022,V50ME,Ref: 1,,, , ,,Ref: 2,Ref: 2,Ref: 1,Ref: 1, , , 
Abbas,Nagwa,7/6/2022,V60ME, ,,, , ,, , , , , , , 
Abbas,Nagwa,7/6/2022,V80ME,Ref: 1,,, , ,, , , ,Ref: 1,Ref: 1, ,Ref: 1
Abbas,Nagwa,7/7/2022,DV2ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
Abbas,Nagwa,7/7/2022,Y14WE,Ref: 1,,, ,Ref: 3,,Ref: 1, , , , , , 
Abbas,Nagwa,7/8/2022,DV2WE,Ref: 1,,, ,Ref: 1,,Ref: 1,Ref: 1, ,Ref: 1, , , 
Abbas,Nagwa,7/9/2022,DV3ME,Ref: 1,,, ,Ref: 1,,Ref: 1, , ,Ref: 1, , , 
Abbas,Nagwa,7/10/2022,Y10WE,Ref: 1,,, , ,,Ref: 2, ,Ref: 1,Ref: 1, , , 
Abbas,Nagwa,7/10/2022,Y12ME,Ref: 1,,, ,Ref: 1,,Ref: 1, , , , , , 
Abbas,Nagwa,7/11/2022,DV3WE,Ref: 1,,, , ,,Ref: 1, ,Ref: 1, , , , 
Abbas,Nagwa,7/11/2022,Y10ME,Ref: 1,,, ,Ref: 2,,Ref: 1,Ref: 2,Ref: 1, , , , 
Abdelaziz,Abdel,3/4/2022,Y10MF,Ref: 1,,,,,,Ref: 2,Ref: 1,,,,,
Abdelaziz,Abdel,3/4/2022,Y14WF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdel,3/5/2022,V60MF,Ref: 1,,,,,,,,,Video: 2,Video: 1,,
Abdelaziz,Abdel,3/6/2022,V50WF,Ref: 1,,,,,,,,,Video: 1,,,
Abdelaziz,Abdel,3/6/2022,V60WF,,,,,,,,,,Video: 2,,,
Abdelaziz,Abdel,3/6/2022,Y12MF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdel,3/7/2022,Y14MF,Ref: 1,,,,,,,,,Video: 1,,,
Abdelaziz,Abdel,4/21/2022,DV2WF,Ref: 1,,,,,,,,,,Video: 1,,Video: 1
Abdelaziz,Abdel,4/21/2022,U19MF,Ref: 1,,,Ref: 1,Ref: 1,,,,,,,,
