Last Name,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Ivanov,Oleksii,10/7/2022,DV1MF,Ref: 1, , ,Ref: 2, , , , , , , , 
Ivanov,Oleksii,10/7/2022,Y14WF,Ref: 1, , ,Ref: 2, ,Ref: 2,Ref: 1, , , , , 
Ivanov,Oleksii,10/8/2022,DV1WS,Ref: 1, , ,Ref: 3, ,Ref: 1, , , , , , 
Ivanov,Oleksii,10/8/2022,U17MS,Ref: 2, ,Ref: 2,Ref: 3, ,Ref: 1, , , , , , 
Ivanov,Oleksii,10/9/2022,U17MF,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 1, , , , , , 
Ivanov,Oleksii,10/9/2022,Y14WS,Ref: 2, , ,Ref: 1, ,Ref: 3,Ref: 1, ,Video: 1, , , 
Ivanov,Oleksii,10/10/2022,Y14MF,Ref: 2, , ,Ref: 2, ,Ref: 1,Ref: 1,Ref: 1, , , , 
Ivanov,Oleksii,1/6/2023,V40WS, , , , , , , , ,Ref: 1  Video: 1,Ref: 1, , 
Ivanov,Oleksii,1/6/2023,V60WS, , , , , , ,Ref: 2,Ref: 2,Ref: 1  Video: 1,Video: 1, , 
Ivanov,Oleksii,1/7/2023,U20WS,Ref: 2, , ,Ref: 3, ,Ref: 1, , , , , , 
Ivanov,Oleksii,1/7/2023,VETWS,Ref: 2, , , , ,Ref: 2,Ref: 2, ,Ref: 1, , , 
Ivanov,Oleksii,1/8/2023,DV1WS,Ref: 1, , ,Ref: 2, , , , , , , , 
Ivanov,Oleksii,1/8/2023,VETMS,Ref: 1, , , , ,Ref: 2, , , , , , 
Ivanov,Oleksii,1/9/2023,U20MS,Ref: 2, , , , , , , , , , , 
Ivanov,Oleksii,1/9/2023,V70MS,Ref: 1, , , , , , ,Ref: 1,Ref: 1, , , 
Ivanov,Oleksii,2/17/2023,U17MS,Ref: 2, ,Ref: 2,Ref: 3, , , , , , , , 
Ivanov,Oleksii,2/17/2023,U20MF,Ref: 1, , , , , , , , , , , 
Ivanov,Oleksii,2/18/2023,JTMMF, , , , , , , , ,Ref: 1, , , 
Ivanov,Oleksii,2/18/2023,U20WF,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 1, , , , , , 
Ivanov,Oleksii,2/19/2023,JTMWF, , , , , , ,Ref: 1,Ref: 1,Ref: 1, , , 
Ivanov,Oleksii,2/19/2023,U17MF,Ref: 1, ,Ref: 2,Ref: 1, , , , , , , , 
Ivanov,Oleksii,2/20/2023,U17WF,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 1, , , , , , 
Ivanov,Oleksii,3/3/2023,U16WF,Ref: 1,,Ref: 2,Ref: 2, , , , , , , , 
Ivanov,Oleksii,3/3/2023,Y10MF,Ref: 1,, ,Ref: 1, ,Ref: 2,Ref: 1,Ref: 1, , , , 
Ivanov,Oleksii,3/4/2023,Y12MF,Ref: 1,,Ref: 2,Ref: 1, ,Ref: 1, , , , , , 
Ivanov,Oleksii,3/4/2023,Y14WF,Ref: 1,,Ref: 3,Ref: 3, ,Ref: 1, , , , , , 
Ivanov,Oleksii,3/5/2023,Y12WF,Ref: 1,,Ref: 2,Ref: 2, ,Ref: 1, , , , , , 
Ivanov,Oleksii,3/5/2023,Y14MF,Ref: 1,,Ref: 3,Ref: 2, , , , , , , , 
Ivanov,Oleksii,3/6/2023,U16MF, ,,Ref: 2,Ref: 3, ,Ref: 1, , , , , , 
Ivanov,Oleksii,3/6/2023,Y10WF,Ref: 1,, ,Ref: 1, ,Ref: 2,Ref: 1, , , , , 
Ivanov,Oleksii,4/21/2023,V40MF,Ref: 1,, , , , , ,Ref: 1,Video: 1, , , 
Ivanov,Oleksii,4/21/2023,V70WF,Ref: 1,, , , , , ,Ref: 1, , , , 
Ivanov,Oleksii,4/21/2023,V80WF,Ref: 1,, , , , , , , , , ,Ref: 1
Ivanov,Oleksii,4/22/2023,VETMF,Ref: 1,, , , ,Ref: 3,Ref: 1, , , , , 
Ivanov,Oleksii,4/22/2023,VETWF,Ref: 1,, , , ,Ref: 1,Ref: 2, , , , , 
Ivanov,Oleksii,4/23/2023,STMMS, ,, , , , , , , ,Ref: 1, ,Ref: 1
Ivanov,Oleksii,4/23/2023,V60MS,Ref: 1,, , , , , ,Ref: 2,Ref: 1  Video: 1, , , 
