Last Name,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,6/30/2023,DV1WF,Ref: 1, , , ,,Ref: 1,Ref: 1, , , , , 
Abashidze,George,7/1/2023,U19MF,Ref: 1, ,Ref: 2,Ref: 1,, , , , , , , 
Abashidze,George,7/2/2023,STMMF, , , , ,, ,Ref: 1,Ref: 1, , , , 
Abashidze,George,7/2/2023,U19WF,Ref: 1, ,Ref: 1,Ref: 2,, , ,Video: 1, , , , 
Abashidze,George,7/3/2023,D1AWF,Ref: 1, , , ,,Ref: 2, , , ,Ref: 1, , 
Abashidze,George,7/4/2023,U16MF,Ref: 1, ,Ref: 4,Ref: 3,,Ref: 1,Ref: 1,Video: 1, , , , 
Abashidze,George,7/5/2023,V50MF,Ref: 1, , , ,,Ref: 1,Ref: 3,Ref: 1,Ref: 1, , , 
Abashidze,George,7/6/2023,DV3MF,Ref: 1, ,Ref: 1,Ref: 1,,Ref: 2, , , , , , 
Abashidze,George,7/6/2023,Y14WF,Ref: 1, ,Ref: 3,Ref: 3,,Ref: 1, , , , , , 
Abashidze,George,7/7/2023,Y14MF,Ref: 1, ,Ref: 2,Ref: 1,,Ref: 1, , , , , , 
Abashidze,George,7/8/2023,DV2MF,Ref: 1, ,Ref: 2,Ref: 1,,Ref: 1, , , ,Video: 1, , 
Abashidze,George,7/9/2023,Y10MF,Ref: 1, ,Ref: 3,Ref: 2,,Ref: 2,Ref: 1, , , , , 
Abbas,Nagwa,12/9/2022,DV1ME,Ref: 1, ,Ref: 1,Ref: 2, , , , , , ,, 
Abbas,Nagwa,12/10/2022,DV1WE,Ref: 1, , ,Ref: 2, ,Ref: 2, ,Ref: 1, , ,, 
Abbas,Nagwa,12/10/2022,U17ME,Ref: 1, ,Ref: 1,Ref: 2, , , ,Ref: 1, , ,, 
Abbas,Nagwa,12/11/2022,U17WE,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 1, ,Ref: 1, , ,, 
