Last Name,First Name,Event,Date,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze ,George,DV1ME,10/4/2024,Ref: 1,,,,Ref: 2,,,,,,,,
Abashidze,George,U20WF,10/4/2024,,,,,Ref: 1,,Ref: 2,,,,,,
Abashidze,George,DV1MF,10/5/2024,Ref: 1,,,,Ref: 2,,,,,,,,
Abashidze,George,DV1WF,10/6/2024,Ref: 1,,,,Ref: 2,,,Ref: 1,,,,,
Abashidze,George,DV2MF,10/6/2024,Ref: 1,,,Ref: 3,Ref: 3,,,Ref: 1,,,,,
Abashidze,George,U20MF,10/7/2024,Ref: 1,,,Ref: 3,,,Ref: 1,Ref: 1,Video: 1,Ref: 1,,,
Abashidze,George,U20WF,11/8/2024,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Abashidze,George,Y14MF,11/8/2024,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Abashidze,George,U17MF,11/9/2024,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Abashidze,George,Y14WF,11/9/2024,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,,,,,
Abashidze,George,U17ME,11/10/2024,Ref: 1,,,Ref: 2,,,,,,,,,
Abashidze,George,U17WF,11/10/2024,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,,,,,
Abashidze,George,U20MF,11/11/2024,Ref: 2,,,Ref: 5,,,,Ref: 1,Video: 1,,,,
Abashidze,George,U16WF,3/7/2025,Ref: 1,,,,Ref: 2,,,,,,,,
Abashidze,George,Y12MF,3/7/2025,Ref: 1,,,Ref: 3,Ref: 3,,,,,,,,
Abashidze,George,Y10MF,3/8/2025,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,Video: 1,,,
Abashidze,George,Y14WF,3/8/2025,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Abashidze,George,Y10WF,3/9/2025,Ref: 1,,,,Ref: 1,,,,,Video: 1,,,
Abashidze,George,U16MF,3/10/2025,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 2,Ref: 1,Video: 1,,,,
Abbas,Nagwa,DV1ME,10/4/2024,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Abbas,Nagwa,DV2ME,10/5/2024,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Abbas,Nagwa,U20WE,10/5/2024,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,,,Video: 1,,,
Abbas,Nagwa,DV2WE,10/6/2024,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,,,,,
Abbas,Nagwa,U20ME,10/6/2024,Ref: 2,,,,,,,,,,,,
Abbas,Nagwa,DV1WE,10/7/2024,Ref: 1,,,,Ref: 2,,,,,Ref: 1,,,
Abbas,Nagwa,CTMWE,11/8/2024,,,,,,,,,Ref: 1,,Ref: 1,,
Abbas,Nagwa,U20ME,11/8/2024,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Abbas,Nagwa,U17WE,11/9/2024,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Abbas,Nagwa,Y14ME,11/9/2024,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,,Ref: 1,,
Abbas,Nagwa,U17ME,11/10/2024,Ref: 1,,,,,,Ref: 1,,,,,,
Abbas,Nagwa,Y14WE,11/10/2024,Ref: 1,,,,Ref: 3,,Ref: 1,,,,,,
Abbas,Nagwa,CTMME,11/11/2024,,,,,,,,Ref: 1,Ref: 1,,,,
Abbas,Nagwa,U20WE,11/11/2024,,,,,,,,,Ref: 1,,,,
Abbas,Nagwa,U20ME,12/6/2024,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,,,,,,
Abbas,Nagwa,U20WE,12/7/2024,Ref: 1,,,,Ref: 2,,,,,,,,
Abbas,Nagwa,U17ME,12/8/2024,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,Ref: 1,,,,
Abbas,Nagwa,U17WE,12/8/2024,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 3,Ref: 1,,,,,
Abbas,Nagwa,U17ME,1/3/2025,Ref: 1,,,,Ref: 1,,Ref: 2,,,,,,
Abbas,Nagwa,U17WE,1/4/2025,Ref: 1,,,,Ref: 2,,,Ref: 1,Ref: 1,Ref: 1,,,
Abbas,Nagwa,V40WE,1/4/2025,Ref: 1,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,
Abbas,Nagwa,DV1ME,1/5/2025,Ref: 1,Ref: 1,,Ref: 2,Ref: 1,,Ref: 2,,Ref: 1,,,,
Abbas,Nagwa,DV1WE,1/6/2025,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Abbas,Nagwa,U20ME,2/14/2025,Ref: 2,,,Ref: 3,,,,,,,,,
Abbas,Nagwa,U20WE,2/14/2025,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,Video: 1,,,,
Abbas,Nagwa,DV1WE,2/15/2025,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Abbas,Nagwa,U17ME,2/16/2025,Ref: 1,,,Ref: 3,Ref: 1,,,,,,,,
Abbas,Nagwa,DV1ME,2/17/2025,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Abbas,Nagwa,U17WE,2/17/2025,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,,,,,,
Abbas,Nagwa,U16ME,3/7/2025,Ref: 1,,,Ref: 1,,,Ref: 1,Ref: 1,,,,,
Abbas,Nagwa,Y10WE,3/7/2025,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abbas,Nagwa,Y14ME,3/8/2025,Ref: 2,,,Ref: 3,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,,,
Abbas,Nagwa,Y12ME,3/9/2025,Ref: 1,,,Ref: 1,Ref: 1,,,,,,,,
Abbas,Nagwa,Y14WE,3/9/2025,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,,,Video: 1,,,
Abbas,Nagwa,U16WE,3/10/2025,Ref: 2,,,Ref: 2,Ref: 3,,Ref: 1,Ref: 1,Video: 1,Ref: 1,,,
Abbas,Nagwa,DV1ME,4/11/2025,Ref: 1,,,,Ref: 2,,Ref: 1,,Ref: 1,,,,
Abbas,Nagwa,DV1WE,4/12/2025,Ref: 1,,,,,,Ref: 2,,Video: 1,,,,
Abbas,Nagwa,U19ME,4/12/2025,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,,Ref: 1,Ref: 1,,,
Abbas,Nagwa,U19WE,4/13/2025,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abbas,Nagwa,V50ME,4/13/2025,Ref: 1,,,,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,
Abbas,Nagwa,VETME,4/14/2025,Ref: 1,,,,Ref: 2,,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,
Abdallah,Ahmed,U20WF,11/8/2024,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,U17WE,11/9/2024,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Abdallah,Ahmed,Y14ME,11/9/2024,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,Video: 1,Video: 1,,
Abdallah,Ahmed,U17ME,11/10/2024,Ref: 1,,,,,,,,,,,,
Abdallah,Ahmed,Y14WE,11/10/2024,Ref: 1,,,,Ref: 3,,Ref: 2,,,,,,
Abdallah,Ahmed,U20ME,12/6/2024,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 2,,,,,,
Abdallah,Ahmed,U20WF,12/6/2024,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Abdallah,Ahmed,U17MF,12/7/2024,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,U20WE,12/7/2024,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Abdallah,Ahmed,U20MF,12/8/2024,Ref: 2,,,Ref: 4,Ref: 1,,Ref: 2,,,Ref: 1,,,
Abdallah,Ahmed,U17ME,1/3/2025,Ref: 1,,,,Ref: 4,,Ref: 1,,,,,,
Abdallah,Ahmed,U17WE,1/4/2025,Ref: 1,,,,Ref: 1,,Ref: 1,,,,Ref: 1,,
Abdallah,Ahmed,VTMMF,1/4/2025,,,,,,,,,Ref: 1,Ref: 1,,,
Abdallah,Ahmed,DV1ME,1/5/2025,Ref: 1,Ref: 1,,Ref: 2,Ref: 3,,Ref: 1,,,,,,
