Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128 ,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Klinkov,Ariana,4/11/2025,DV1WS,Ref: 2,,,,Ref: 4,,Ref: 2,Ref: 1,Video: 2,Ref: 1,,,
Klinkov,Ariana,4/11/2025,V60MS,Ref: 1,,,,,,,,,Video: 1,Ref: 1,,
Klinkov,Ariana,4/12/2025,DV1MS,Ref: 2,,,,Ref: 2,,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Klinkov,Ariana,4/13/2025,U19MS,Ref: 2,,,Ref: 4,Ref: 4,,,,Video: 1,,,,
Klinkov,Ariana,4/13/2025,V70WS,Ref: 1,,,,,,,,Ref: 2,Ref: 1  Video: 2,Ref: 1  Video: 1,,Video: 1
Klinkov,Ariana,4/14/2025,U19WS,Ref: 1,,,Ref: 2,Ref: 5,,Ref: 4,Ref: 1,Video: 2,,,,
Koehler,Kelly,1/3/2025,DV1WF,Ref: 1,,,,,,,,Video: 1,,,,Ref: 1
Koehler,Kelly,1/4/2025,DV1MF,Ref: 1,Ref: 1,,Ref: 2,,,,,Video: 1,Video: 1,Video: 1,,
Koehler,Kelly,1/5/2025,U17WF,,,,,,,,,Video: 1,Video: 1,Video: 1,,Video: 1
Koehler,Kelly,2/14/2025,DV1MF,Ref: 1,Ref: 1,,,,,Ref: 1,,,,,,
Koehler,Kelly,2/15/2025,U20MF,,,,,,,,,,,Ref: 1,,
Koehler,Kelly,2/15/2025,U20WF,,,,,,,,,Video: 1,Video: 1,,,
Koehler,Kelly,2/16/2025,DV1WF,Ref: 1,,,,,,,,Video: 2,Ref: 1,Video: 1,,Video: 1
Koehler,Kelly,2/17/2025,U17WF,Ref: 1,,,Ref: 1,Ref: 3,,,,,,,,
Kovacevic,Miljan,10/4/2024,U20WF,Ref: 1,,,,Ref: 2,,,,,Video: 1,,,
Kovacevic,Miljan,10/5/2024,DV1MF,Ref: 1,Ref: 1,,Ref: 2,,,Ref: 2,Ref: 1,Video: 1,Ref: 1,,,Ref: 1
Kovacevic,Miljan,10/6/2024,DV1WF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Video: 1,,,,
Kovacevic,Miljan,10/7/2024,DV2WF,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,Video: 1,,
Kovacevic,Miljan,10/7/2024,U20MF,Ref: 1,,,Ref: 3,Ref: 1,,,Ref: 1,,,,,
Kovacevic,Miljan,1/3/2025,U17ME,Ref: 1,,,,Ref: 3,,Ref: 1,,,,,,
Kovacevic,Miljan,1/4/2025,U17WE,Ref: 1,,,,Ref: 3,,Ref: 2,,Ref: 1,,,,
Kovacevic,Miljan,1/4/2025,VTMMF,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1
Kovacevic,Miljan,1/5/2025,U17WF,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,Video: 1,,,,
Kovacevic,Miljan,1/5/2025,VETMF,Ref: 1,,,,,,Ref: 2,,Ref: 1,,,,
Kovacevic,Miljan,1/6/2025,VETWF,Ref: 1,,,,,,Ref: 1,Ref: 1,Ref: 1,Video: 1,Video: 1,,Ref: 1
Kovacevic,Miljan,4/11/2025,U19MF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 2,,,Ref: 1,,,
Kovacevic,Miljan,4/11/2025,V60MS,Ref: 1,,,,,,,Ref: 1,Ref: 2,Ref: 1,Video: 1,,
Kovacevic,Miljan,4/12/2025,JTMMF,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Kovacevic,Miljan,4/12/2025,U19ME,Ref: 1,,,Ref: 3,Ref: 1,,,Ref: 1,,,,,
Kovacevic,Miljan,4/13/2025,U19WF,Ref: 1,,,,Ref: 4,,Ref: 1,,,Video: 1,Video: 1,,
Kovacevic,Miljan,4/14/2025,DV1MF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Video: 1,Video: 1,Video: 1,,
Kuksa,Anton,6/28/2025,U19MS,Ref: 2,,,Ref: 5,Ref: 3,,Ref: 2,,Ref: 1,,,,
Kuksa,Anton,6/28/2025,U19WE,Ref: 1,,,,,,,,,,,,
Kuksa,Anton,6/29/2025,DV1MS,Ref: 2,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Kuksa,Anton,6/29/2025,U19WS,Ref: 2,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 2,,,,,
Kuksa,Anton,6/30/2025,U16MS,Ref: 2,,,Ref: 3,Ref: 2,,Ref: 1,,,,,,
Kuksa,Anton,7/3/2025,Y14MS,Ref: 2,,,,,,,,,,,,
Kuksa,Anton,7/4/2025,DV2MS,Ref: 2,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Kuksa,Anton,7/6/2025,DV3WS,Ref: 1,,,,Ref: 1,,,Ref: 1,,,,,
Kuksa,Anton,7/7/2025,DV3WE,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Lambdin-Abraham,Andrew,11/8/2024,CTMWE,,,,,,,,,Ref: 1,,,,
Lambdin-Abraham,Andrew,11/9/2024,Y14ME,Ref: 1,,,,,,,Ref: 1,,Video: 1,,,
Lambdin-Abraham,Andrew,11/10/2024,Y14WE,Ref: 1,,,,,,,,,Video: 1,,,
Lambdin-Abraham,Andrew,11/11/2024,CTMME,,,,,,,,Ref: 1,Ref: 1,,,,
Lambdin-Abraham,Andrew,1/3/2025,U17ME,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,Video: 1,,,,
Lambdin-Abraham,Andrew,1/4/2025,U17WE,Ref: 1,,,,,,,,Video: 1,Video: 1,,,Video: 1
Lambdin-Abraham,Andrew,1/4/2025,V60WE,,,,,,,,,,,,,Video: 1
Lambdin-Abraham,Andrew,1/5/2025,DV1ME,Ref: 1,Ref: 1,,Ref: 1,Ref: 2,,,,Video: 1,,,,
Lambdin-Abraham,Andrew,1/6/2025,DV1WE,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,Video: 1,,Video: 1,,Video: 1
Le,TAN,10/4/2024,DV1ME,Ref: 1,,,Ref: 3,Ref: 1,,,,,,,,
Le,TAN,10/5/2024,DV2ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,,,,,,
Le,TAN,10/5/2024,U20WE,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Le,TAN,10/6/2024,DV2WE,Ref: 1,,,,Ref: 2,,Ref: 1,,,,,,
Le,TAN,10/6/2024,U20ME,Ref: 2,,,,,,,,,,,,
Le,TAN,10/7/2024,DV1WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Le,TAN,11/8/2024,CTMWE,,,,,,,,,Ref: 1,Ref: 1,,,
Le,TAN,11/8/2024,U20ME,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,,,Ref: 1,,
Le,TAN,11/9/2024,U17WE,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Le,TAN,11/9/2024,Y14ME,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Le,TAN,11/10/2024,U17ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,,,,,
Le,TAN,11/10/2024,Y14WE,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,,,,,
Le,TAN,11/11/2024,U20WE,Ref: 2,,,Ref: 5,Ref: 3,,Ref: 2,Ref: 2,Ref: 1,,,,
Le,TAN,12/6/2024,U20ME,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,,Ref: 1,,,
Le,TAN,12/7/2024,U17MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Le,TAN,12/7/2024,U17WF,Ref: 1,,,,,,,,,,,,
Le,TAN,12/7/2024,U20WE,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Le,TAN,12/8/2024,U17ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Le,TAN,12/8/2024,U17WE,Ref: 1,,,Ref: 1,Ref: 4,,Ref: 2,Ref: 2,,,,,
Le,TAN,1/3/2025,U17ME,Ref: 1,,,,Ref: 3,,,,,,,,
Le,TAN,1/3/2025,VETWE,Ref: 1,,,,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,
Le,TAN,1/4/2025,VTMME,,,,,,,,,,Ref: 1,,,
Le,TAN,1/5/2025,DV1ME,,Ref: 1,,,,,Ref: 2,,,,,,
Le,TAN,1/5/2025,VTMWE,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Le,TAN,1/6/2025,DV1WE,Ref: 1,,,,,,,,,,,,
Le,TAN,1/6/2025,V50ME,Ref: 1,,,,,,Ref: 4,Ref: 3,Ref: 2,Video: 1,Video: 1,,
Le,TAN,2/14/2025,U20ME,Ref: 2,,,Ref: 2,,,,,,,,,
Le,TAN,2/14/2025,U20WE,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,Video: 1,,,,
Le,TAN,2/15/2025,DV1WE,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,Video: 1,Ref: 1,,,
Le,TAN,2/16/2025,U17ME,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Le,TAN,2/17/2025,DV1ME,Ref: 1,Ref: 1,,Ref: 2,Ref: 1,,Ref: 2,,,Ref: 1,,,
