Last Name,First Name,Event,Date,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,DV1MF,10/3/2025,Ref: 1, , ,Ref: 1,Ref: 2,,Ref: 1, , , , , , 
Abashidze,George,U20WF,10/3/2025,Ref: 1, , ,Ref: 1,Ref: 2,,Ref: 1, , , , , , 
Abashidze,George,DV1ME,10/4/2025,Ref: 1, , , ,Ref: 2,,Ref: 1, , , , , , 
Abashidze,George,U17WF,10/4/2025, , , , , ,, , , , , , , 
Abashidze,George,U20MF,10/5/2025,Ref: 1, , ,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
Abashidze,George,U17WE,10/6/2025,Ref: 1, , ,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1, , , , 
Abashidze,George,U20ME,10/6/2025, , , , ,Ref: 1,, , , , , , , 
Abashidze,George,Y14MF,11/14/2025,Ref: 1, , , ,Ref: 3,,Ref: 2, , , , , , 
Abashidze,George,U17MF,11/15/2025,Ref: 1, , ,Ref: 1,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Abashidze,George,U17WF,11/15/2025,Ref: 1, , , , ,, , , , , , , 
Abashidze,George,DV1MF,11/16/2025,Ref: 1, , ,Ref: 2,Ref: 1,, , , , , , , 
Abashidze,George,U17WE,11/16/2025,Ref: 1, , ,Ref: 1,Ref: 2,,Ref: 2, , , , , , 
Abashidze,George,CTMMF,11/17/2025, , , , , ,, , , , ,Ref: 1, , 
Abbas,Nagwa,DV1WE,10/3/2025,Ref: 1, , , ,Ref: 2,,Ref: 2, , , , , , 
Abbas,Nagwa,DV1ME,10/4/2025,Ref: 1, , ,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Ref: 1, , , , 
Abbas,Nagwa,U20WE,10/4/2025,Ref: 1, , ,Ref: 2,Ref: 1,, ,Ref: 1,Ref: 1, , , , 
Abbas,Nagwa,U17ME,10/5/2025,Ref: 1, , ,Ref: 1,Ref: 2,, ,Ref: 1, , , , , 
Abbas,Nagwa,U20ME,10/6/2025,Ref: 2, , ,Ref: 5,Ref: 2,, , , , , , , 
Abbas,Nagwa,DV1ME,11/14/2025,Ref: 1, , ,Ref: 2,Ref: 1,, ,Ref: 1, , , , , 
Abbas,Nagwa,Y14WE,11/14/2025,Ref: 1, , , ,Ref: 1,,Ref: 2,Ref: 1, ,Ref: 1, , ,Video: 1
Abbas,Nagwa,CTMWE,11/15/2025, , , , , ,, ,Ref: 1, , , , , 
